,0
1587,tt0014062
1588,tt0014068
1589,tt0014069
1590,tt0014072
1591,tt0014077
1592,tt0014078
1593,tt0014082
1594,tt0014083
1595,tt0014084
1596,tt0014086
1597,tt0014089
1598,tt0014091
1599,tt0014096
1600,tt0014100
1601,tt0014103
1602,tt0014108
1603,tt0014109
1604,tt0014120
1605,tt0014121
1606,tt0014124
1607,tt0014129
1608,tt0014132
1609,tt0014137
1610,tt0014138
1611,tt0014142
1612,tt0014144
1613,tt0014146
1614,tt0014147
1615,tt0014158
1616,tt0014164
1617,tt0014165
1618,tt0014168
1619,tt0014171
1620,tt0014174
1621,tt0014181
1622,tt0014188
1623,tt0014189
1624,tt0014190
1625,tt0014191
1626,tt0014198
1627,tt0014202
1628,tt0014204
1629,tt0014211
1630,tt0014212
1631,tt0014213
1632,tt0014217
1633,tt0014219
1634,tt0014223
1635,tt0014224
1636,tt0014229
1637,tt0014235
1638,tt0014239
1639,tt0014243
1640,tt0014246
1641,tt0014247
1642,tt0014256
1643,tt0014258
1644,tt0014259
1645,tt0014260
1646,tt0014263
1647,tt0014272
1648,tt0014277
1649,tt0014289
1650,tt0014291
1651,tt0014294
1652,tt0014296
1653,tt0014301
1654,tt0014302
1655,tt0014306
1656,tt0014308
1657,tt0014311
1658,tt0014321
1659,tt0014323
1660,tt0014328
1661,tt0014330
1662,tt0014341
1663,tt0014343
